Month,LG,MG,SG,LB,MB,SB
0,-0.0631,13.3363,0.09272,-0.3053,13.4069,0.0956
1,0.3448,14.5679,0.09556,0.2708,14.9441,0.09027
2,0.1749,15.7679,0.09371,0.1118,16.3195,0.08677
3,0.0643,16.3574,0.09254,0.0068,16.8987,0.08495
4,-0.0191,16.6703,0.09166,-0.0727,17.1579,0.08378
5,-0.0864,16.8386,0.09096,-0.137,17.2919,0.08296
6,-0.1429,16.9083,0.09036,-0.1913,17.3422,0.08234
7,-0.1916,16.902,0.08984,-0.2385,17.3288,0.08183
8,-0.2344,16.8404,0.08939,-0.2802,17.2647,0.0814
9,-0.2725,16.7406,0.08898,-0.3176,17.1662,0.08102
10,-0.3068,16.6184,0.08861,-0.3516,17.0488,0.08068
11,-0.3381,16.4875,0.08828,-0.3828,16.9239,0.08037
12,-0.3667,16.3568,0.08797,-0.4115,16.7981,0.08009
13,-0.3932,16.2311,0.08768,-0.4382,16.6743,0.07982
14,-0.4177,16.1128,0.08741,-0.463,16.5548,0.07958
15,-0.4407,16.0028,0.08716,-0.4863,16.4409,0.07935
16,-0.4623,15.9017,0.08693,-0.5082,16.3335,0.07913
17,-0.4825,15.8096,0.08671,-0.5289,16.2329,0.07892
18,-0.5017,15.7263,0.0865,-0.5484,16.1392,0.07873
19,-0.5199,15.6517,0.0863,-0.5669,16.0528,0.07854
20,-0.5372,15.5855,0.08612,-0.5846,15.9743,0.07836
21,-0.5537,15.5278,0.08594,-0.6014,15.9039,0.07818
22,-0.5695,15.4787,0.08577,-0.6174,15.8412,0.07802
23,-0.5846,15.438,0.0856,-0.6328,15.7852,0.07786
24,-0.5989,15.4052,0.08545,-0.6473,15.7356,0.07771
25,-0.5684,15.659,0.08452,-0.584,15.98,0.07792
26,-0.5684,15.6308,0.08449,-0.5497,15.9414,0.078
27,-0.5684,15.6037,0.08446,-0.5166,15.9036,0.07808
28,-0.5684,15.5777,0.08444,-0.485,15.8667,0.07818
29,-0.5684,15.5523,0.08443,-0.4552,15.8306,0.07829
30,-0.5684,15.5276,0.08444,-0.4274,15.7953,0.07841
31,-0.5684,15.5034,0.08448,-0.4016,15.7606,0.07854
32,-0.5684,15.4798,0.08455,-0.3782,15.7267,0.07867
33,-0.5684,15.4572,0.08467,-0.3572,15.6934,0.07882
34,-0.5684,15.4356,0.08484,-0.3388,15.661,0.07897
35,-0.5684,15.4155,0.08506,-0.3231,15.6294,0.07914
36,-0.5684,15.3968,0.08535,-0.3101,15.5988,0.07931
37,-0.5684,15.3796,0.08569,-0.3,15.5693,0.0795
38,-0.5684,15.3638,0.08609,-0.2927,15.541,0.07969
39,-0.5684,15.3493,0.08654,-0.2884,15.514,0.0799
40,-0.5684,15.3358,0.08704,-0.2869,15.4885,0.08012
41,-0.5684,15.3233,0.08757,-0.2881,15.4645,0.08036
42,-0.5684,15.3116,0.08813,-0.2919,15.442,0.08061
43,-0.5684,15.3007,0.08872,-0.2981,15.421,0.08087
44,-0.5684,15.2905,0.08931,-0.3067,15.4013,0.08115
45,-0.5684,15.2814,0.08991,-0.3174,15.3827,0.08144
46,-0.5684,15.2732,0.09051,-0.3303,15.3652,0.08174
47,-0.5684,15.2661,0.0911,-0.3452,15.3485,0.08205
48,-0.5684,15.2602,0.09168,-0.3622,15.3326,0.08238
49,-0.5684,15.2556,0.09227,-0.3811,15.3174,0.08272
50,-0.5684,15.2523,0.09286,-0.4019,15.3029,0.08307
51,-0.5684,15.2503,0.09345,-0.4245,15.2891,0.08343
52,-0.5684,15.2496,0.09403,-0.4488,15.2759,0.0838
53,-0.5684,15.2502,0.0946,-0.4747,15.2633,0.08418
54,-0.5684,15.2519,0.09515,-0.5019,15.2514,0.08457
55,-0.5684,15.2544,0.09568,-0.5303,15.24,0.08496
56,-0.5684,15.2575,0.09618,-0.5599,15.2291,0.08536
57,-0.5684,15.2612,0.09665,-0.5905,15.2188,0.08577
58,-0.5684,15.2653,0.09709,-0.6223,15.2091,0.08617
59,-0.5684,15.2698,0.0975,-0.6552,15.2,0.08659
60,-0.5684,15.2747,0.09789,-0.6892,15.1916,0.087
61,-0.8886,15.2441,0.09692,-0.7387,15.2641,0.0839
62,-0.9068,15.2434,0.09738,-0.7621,15.2616,0.08414
63,-0.9248,15.2433,0.09783,-0.7856,15.2604,0.08439
64,-0.9427,15.2438,0.09829,-0.8089,15.2605,0.08464
65,-0.9605,15.2448,0.09875,-0.8322,15.2619,0.0849
66,-0.978,15.2464,0.0992,-0.8554,15.2645,0.08516
67,-0.9954,15.2487,0.09966,-0.8785,15.2684,0.08543
68,-1.0126,15.2516,0.10012,-0.9015,15.2737,0.0857
69,-1.0296,15.2551,0.10058,-0.9243,15.2801,0.08597
70,-1.0464,15.2592,0.10104,-0.9471,15.2877,0.08625
71,-1.063,15.2641,0.10149,-0.9697,15.2965,0.08653
72,-1.0794,15.2697,0.10195,-0.9921,15.3062,0.08682
73,-1.0956,15.276,0.10241,-1.0144,15.3169,0.08711
74,-1.1115,15.2831,0.10287,-1.0365,15.3285,0.08741
75,-1.1272,15.2911,0.10333,-1.0584,15.3408,0.08771
76,-1.1427,15.2998,0.10379,-1.0801,15.354,0.08802
77,-1.1579,15.3095,0.10425,-1.1017,15.3679,0.08833
78,-1.1728,15.32,0.10471,-1.123,15.3825,0.08865
79,-1.1875,15.3314,0.10517,-1.1441,15.3978,0.08898
80,-1.2019,15.3439,0.10562,-1.1649,15.4137,0.08931
